transaction_id,user_id,amount,date_time,merchant_type,location,device_type,ip_address,channel,label
T001,U001,250.00,2025-08-01 10:15:30,Electronics,New York,Mobile,192.168.10.1,Online,0
T002,U002,1500.00,2025-08-01 11:00:00,Jewelry,Chicago,Desktop,172.16.5.4,Online,1
T003,U003,45.50,2025-08-01 12:05:00,Groceries,San Francisco,Mobile,10.0.0.5,In-Store,0
T004,U001,900.00,2025-08-01 13:10:22,Travel,New York,Mobile,192.168.10.1,Online,0
T005,U004,2000.00,2025-08-01 14:00:00,Jewelry,Chicago,Desktop,172.16.5.8,Online,1
T006,U005,35.00,2025-08-01 15:45:10,Cafes,Boston,Mobile,10.0.0.9,In-Store,0
T007,U006,290.00,2025-08-01 16:20:00,Electronics,San Francisco,Desktop,10.0.0.15,Online,0
T008,U007,1700.00,2025-08-01 17:30:00,Jewelry,New York,Desktop,192.168.10.25,Online,1
T009,U008,15.00,2025-08-01 18:00:00,Cafes,Boston,Mobile,10.0.0.18,In-Store,0
T010,U009,600.00,2025-08-01 19:45:00,Travel,Chicago,Mobile,172.16.5.11,Online,0
T011,U001,300.00,2025-08-02 09:10:00,Groceries,New York,Mobile,192.168.10.1,Online,0
T012,U002,1550.00,2025-08-02 10:15:20,Jewelry,Chicago,Desktop,172.16.5.4,Online,1
T013,U003,60.00,2025-08-02 11:30:00,Cafes,Boston,Mobile,10.0.0.9,In-Store,0
T014,U010,800.00,2025-08-02 12:45:00,Travel,San Francisco,Mobile,10.0.0.15,Online,0
T015,U011,25.00,2025-08-02 13:00:00,Groceries,New York,Mobile,192.168.10.20,In-Store,0
T016,U004,2100.00,2025-08-02 14:15:45,Jewelry,Chicago,Desktop,172.16.5.8,Online,1
T017,U005,40.00,2025-08-02 15:20:10,Cafes,Boston,Mobile,10.0.0.18,In-Store,0
T018,U001,270.00,2025-08-02 16:30:00,Electronics,New York,Mobile,192.168.10.1,Online,0
T019,U012,1900.00,2025-08-02 17:45:30,Jewelry,San Francisco,Desktop,10.0.0.25,Online,1
T020,U013,50.00,2025-08-02 18:50:00,Cafes,Boston,Mobile,10.0.0.28,In-Store,0




